时间单位:mS, 转换单位: 毫伏
Index	  Tims        AI00      AI01      
     0    0.00000   2610.17   2380.37 
     1    0.00400   2622.07   2337.95 
     2    0.00800   2626.34   2303.47 
     3    0.01200   2628.48   2260.74 
     4    0.01600   2630.92   2221.07 
     5    0.02000   2622.38   2185.36 
     6    0.02400   2608.34   2145.39 
     7    0.02800   2598.57   2109.07 
     8    0.03200   2580.87   2079.47 
     9    0.03600   2560.12   2043.46 
    10    0.04000   2536.62   2012.94 
    11    0.04400   2508.85   1985.78 
    12    0.04800   2477.72   1962.28 
    13    0.05200   2449.34   1942.75 
    14    0.05600   2416.69   1918.64 
    15    0.06000   2384.03   1903.69 
    16    0.06400   2345.89   1889.95 
    17    0.06800   2308.96   1878.66 
    18    0.07200   2273.56   1872.56 
    19    0.07600   2232.97   1869.81 
    20    0.08000   2197.27   1869.51 
    21    0.08400   2160.64   1871.34 
    22    0.08800   2122.50   1879.27 
    23    0.09200   2084.05   1887.82 
    24    0.09600   2051.70   1899.41 
    25    0.10000   2019.35   1915.28 
    26    0.10400   1985.78   1931.46 
    27    0.10800   1955.57   1950.07 
    28    0.11200   1925.35   1974.49 
    29    0.11600   1895.45   2001.34 
    30    0.12000   1871.64   2022.09 
    31    0.12400   1850.59   2054.44 
    32    0.12800   1827.09   2083.44 
    33    0.13200   1809.39   2113.65 
    34    0.13600   1792.91   2147.52 
    35    0.14000   1777.65   2181.70 
    36    0.14400   1772.77   2219.54 
    37    0.14800   1765.75   2257.39 
    38    0.15200   1762.08   2295.23 
    39    0.15600   1757.51   2334.29 
    40    0.16000   1755.68   2374.27 
    41    0.16400   1760.86   2413.64 
    42    0.16800   1764.83   2455.44 
    43    0.17200   1772.46   2496.34 
    44    0.17600   1781.01   2536.93 
    45    0.18000   1794.13   2581.48 
    46    0.18400   1808.78   2624.51 
    47    0.18800   1828.61   2661.44 
    48    0.19200   1849.98   2704.16 
    49    0.19600   1872.56   2745.36 
    50    0.20000   1899.41   2785.95 
    51    0.20400   1929.32   2825.32 
    52    0.20800   1960.75   2862.85 
    53    0.21200   1996.15   2900.09 
    54    0.21600   2034.61   2936.71 
    55    0.22000   2072.75   2971.50 
    56    0.22400   2109.38   3005.07 
    57    0.22800   2153.93   3036.80 
    58    0.23200   2196.66   3065.80 
    59    0.23600   2244.57   3092.04 
    60    0.24000   2290.65   3116.15 
    61    0.24400   2336.43   3138.43 
    62    0.24800   2386.47   3159.79 
    63    0.25200   2435.00   3175.35 
    64    0.25600   2483.52   3187.87 
    65    0.26000   2534.79   3199.16 
    66    0.26400   2582.40   3211.06 
    67    0.26800   2633.36   3221.13 
    68    0.27200   2687.07   3226.62 
    69    0.27600   2737.73   3230.59 
    70    0.28000   2788.70   3231.51 
    71    0.28400   2839.36   3228.45 
    72    0.28800   2878.11   3226.93 
    73    0.29200   2928.77   3221.74 
    74    0.29600   2976.07   3213.81 
    75    0.30000   3021.85   3204.96 
    76    0.30400   3067.93   3191.53 
    77    0.30800   3109.74   3176.88 
    78    0.31200   3150.02   3163.76 
    79    0.31600   3190.31   3143.92 
    80    0.32000   3228.45   3118.90 
    81    0.32400   3265.38   3097.84 
    82    0.32800   3301.09   3074.65 
    83    0.33200   3332.82   3049.01 
    84    0.33600   3363.65   3020.32 
    85    0.34000   3391.72   2991.03 
    86    0.34400   3418.88   2961.43 
    87    0.34800   3443.60   2932.43 
    88    0.35200   3460.69   2900.70 
    89    0.35600   3479.61   2868.96 
    90    0.36000   3497.31   2837.22 
    91    0.36400   3511.66   2803.34 
    92    0.36800   3525.09   2769.78 
    93    0.37200   3536.38   2735.60 
    94    0.37600   3543.40   2701.42 
    95    0.38000   3549.19   2665.41 
    96    0.38400   3551.94   2626.34 
    97    0.38800   3553.47   2591.86 
    98    0.39200   3552.86   2556.46 
    99    0.39600   3550.42   2520.45 
   100    0.40000   3544.31   2487.49 
   101    0.40400   3538.51   2452.39 
   102    0.40800   3529.66   2419.43 
   103    0.41200   3518.98   2387.08 
   104    0.41600   3500.06   2355.96 
   105    0.42000   3486.63   2328.49 
   106    0.42400   3470.76   2300.42 
   107    0.42800   3452.45   2271.73 
   108    0.43200   3432.01   2245.18 
   109    0.43600   3414.31   2220.15 
   110    0.44000   3393.55   2198.18 
   111    0.44400   3369.45   2171.63 
   112    0.44800   3346.56   2148.74 
   113    0.45200   3323.06   2128.60 
   114    0.45600   3297.42   2109.99 
   115    0.46000   3270.87   2092.59 
   116    0.46400   3244.93   2077.03 
   117    0.46800   3218.38   2063.29 
   118    0.47200   3194.27   2051.39 
   119    0.47600   3164.67   2041.32 
   120    0.48000   3133.54   2031.56 
   121    0.48400   3106.69   2025.45 
   122    0.48800   3078.00   2020.87 
   123    0.49200   3050.54   2017.21 
   124    0.49600   3023.07   2015.38 
   125    0.50000   2993.77   2015.38 
   126    0.50400   2968.75   2017.52 
   127    0.50800   2943.12   2015.69 
   128    0.51200   2917.18   2019.35 
   129    0.51600   2893.68   2025.76 
   130    0.52000   2869.26   2031.86 
   131    0.52400   2845.46   2039.49 
   132    0.52800   2824.40   2049.26 
   133    0.53200   2802.12   2058.41 
   134    0.53600   2784.73   2070.62 
   135    0.54000   2759.09   2084.96 
   136    0.54400   2741.09   2099.00 
   137    0.54800   2724.00   2116.70 
   138    0.55200   2708.13   2133.18 
